DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	other_mean	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	LOGGERPOWER_1_1_1	LOGGERTEMP_1_1_1	VIN_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	PPFD_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_1	SHF_1_1_1	SHF_2_1_1	SHF_3_1_1	SHFSENS1_1_1_1	SHFSENS2_2_1_1	SHFSENS3_3_1_1	SWC_1_1_1	SWC_2_1_1	SWC_3_1_1	SWIN_1_1_1	SWOUT_1_1_1	TA_1_1_1	TC_1_1_1	TS_1_1_1	TS_2_1_1	TS_3_1_1	TSENSOR_1_1_1	VERSION_1_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	[OTHER]	[C]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[m]	[%]	[W/m^2]	[W/m^2]	[W/m^2]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[K]	[K]	[K]	[K]	[C]	[OTHER]	209
DATA	2022-12-09T233000_AIU-1861.ghg	2022-12-10	00:00:00	344	0	18000	18000	0.0045917	2	NaN	-7.19352	1	NaN	NaN	NaN	NaN	-0.00356359	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.15321e-11	NaN	NaN	NaN	24.4518	597.664	597.664	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	271.539	264.449	89950.7	1.18501	1005.06	0.0244426	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.598448	-0.401071	0.0152432	0.720577	-3.29378e-14	-2.1075e-15	0.720577	3.36453	85.5465	213.829	1.21214	NaN	0.0622482	0.438007	2.70642	1.28398	NaN	0.097029	1	35.4354	15	34	71	137	311	1474	0.00445687	1.03025	-6.78209	1.06066	NaN	NaN	0.433409	1.28032	NaN	NaN	NaN	NaN	NaN	NaN	800000099	800000199	800000099	800000199	800000199	810100199	899999999	899999999	89999	89999	89	89	0	0	2	4	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.671141	0.191019	0.0138542	0.533461	0.00588077	NaN	NaN	NaN	-0.00569443	0.000433409	NaN	NaN	NaN	0.000496368	10.35	597.607	-3.08814	NaN	106.856	1	-2.99	12.0768	225.879	270.768	-15617.8	0	66.5711	-48.7894	-20.1812	-9.36048	-9.01395	62.97	61.32	63.8	0.0124583	0.0141111	0.003	-3.85794	0.0415943	266.001	NaN	270.443	271.902	271.598	NaN	2	144
DATA	2022-12-10T000000_AIU-1861.ghg	2022-12-10	00:30:00	344.0208	0	18000	18000	0.00676411	2	NaN	-4.748	1	NaN	NaN	NaN	NaN	0.254908	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.07795e-11	NaN	NaN	NaN	24.5948	595.964	595.964	-0.2	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	269.941	262.245	89979.2	1.19534	1005.04	0.0242312	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.448908	-0.339973	0.00906867	0.563189	-6.44706e-14	-4.38281e-16	0.563189	2.19499	319.073	322.862	0.922637	NaN	0.0752245	0.411181	7.23794	0.480109	NaN	0.0525381	1	15.582	7	15	31	60	136	644	0.00664847	1.01739	-4.59832	1.03255	NaN	NaN	0.543171	1.15169	NaN	NaN	NaN	NaN	NaN	NaN	800000099	800000199	800000099	800000199	800100199	800111199	899999999	899999999	89999	89999	89	89	0	0	2	0	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.627694	0.191356	0.00331155	2.00169	0.023511	NaN	NaN	NaN	-0.00382756	0.000543171	NaN	NaN	NaN	0.00049504	10.393	595.908	-3.06445	NaN	107.145	1	-4.00333	12.0765	225.187	264.422	-15607.1	0	70.2099	-42.2917	-20.8717	-9.60533	-8.08654	62.97	61.32	63.8	0.0142861	0.0140639	0.003	-2.48614	0.571122	264.498	NaN	270.012	271.702	271.372	NaN	2	232
DATA	2022-12-10T003000_AIU-1861.ghg	2022-12-10	01:00:00	344.0416	0	18000	18000	0.00100391	2	NaN	-5.51721	1	NaN	NaN	NaN	NaN	0.629209	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.39402e-12	NaN	NaN	NaN	24.7817	599.571	599.571	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	268.597	261.935	90010.8	1.19718	1005.04	0.0241941	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0882088	-1.72372	0.0449366	1.72656	1.07042e-13	-2.17661e-16	1.72656	2.82646	34.855	267.071	1.49138	NaN	0.028958	0.232323	0.355419	9.77719	NaN	0.158347	1	887.925	388	837	1762	3390	7628	NaN	0.000869307	1.15484	-4.26717	1.29294	NaN	NaN	0.452694	2.34824	NaN	NaN	NaN	NaN	NaN	NaN	800000099	800000199	800000099	800000199	800000199	800000199	899999999	899999999	89999	89999	89	89	0	0	4	2	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96	0.0612501	0.39894	0.0044569	0.749685	0.007829	NaN	NaN	NaN	-0.00354648	0.000452694	NaN	NaN	NaN	0.000500917	10.4095	599.52	-3.0612	NaN	106.375	1	-5.24	12.0779	222.612	264.121	-15617.8	0	73.3946	-45.0404	-22.1007	-10.0219	-9.46884	62.97	61.32	63.8	0.0131583	0.0147528	0.00274167	-1.81684	1.71443	263.22	NaN	269.653	271.455	271.07	NaN	2	006
DATA	2022-12-10T010000_AIU-1861.ghg	2022-12-10	01:30:00	344.0624	0	18000	18000	0.00513884	2	NaN	-11.2113	0	NaN	NaN	NaN	NaN	-0.33218	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.78632e-11	NaN	NaN	NaN	24.5687	598.907	598.907	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	271.378	263.941	90020.2	1.1882	1005.06	0.0243768	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.767634	-0.954819	0.0132692	1.2252	-2.39678e-14	1.54111e-15	1.2252	2.76718	73.5189	231.202	0.620539	NaN	0.0657638	0.164997	2.0488	1.69611	NaN	0.142753	1	88.79	39	85	183	362	842	4256	0.00494504	1.03919	-10.3883	1.07922	NaN	NaN	0.396888	1.36486	NaN	NaN	NaN	NaN	NaN	NaN	800000099	800000199	800000099	800000199	800000199	800100199	899999999	899999999	89999	89999	89	89	3	1	3	9	9	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96	0.230017	0.0902034	0.0097726	0.162673	0.00179343	NaN	NaN	NaN	-0.00869885	0.000396888	NaN	NaN	NaN	0.000504246	10.4	598.857	-3.08433	NaN	106.413	1	-5.82	12.0777	222.394	266.048	-15617.8	0	68.2238	-47.44	-22.8866	-10.4833	-10.0194	62.97	61.32	63.8	0.0113528	0.0166917	0.00161667	0.231838	4.01759	265.555	NaN	269.44	271.221	270.83	NaN	2	187
DATA	2022-12-10T013000_AIU-1861.ghg	2022-12-10	02:00:00	344.0833	0	18000	18000	0.00228613	2	NaN	0.370851	1	NaN	NaN	NaN	NaN	-0.1998	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.74952e-11	NaN	NaN	NaN	24.543	597.778	597.778	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	271.304	263.714	90018.4	1.1892	1005.06	0.0243563	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.23931	-0.275475	0.00976428	0.365036	2.83422e-14	2.75008e-15	0.365036	1.4483	80.2298	229.019	1.53278	NaN	0.0438452	0.178925	-18.355	-0.189322	NaN	-0.0070767	1	20.7642	9	17	29	45	75	187	0.00221555	1.03186	0.36123	1.02663	NaN	NaN	-0.214563	1.06578	NaN	NaN	NaN	NaN	NaN	NaN	800000099	800000199	800000099	800000199	800000199	800000199	899999999	899999999	89999	89999	89	89	1	0	3	1	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.155124	0.201014	0.00171258	0.633123	0.0102114	NaN	NaN	NaN	0.00030223	-0.000214563	NaN	NaN	NaN	0.000503005	10.4115	597.724	-3.08054	NaN	106.893	1	-5.94667	12.0773	221.703	261.351	-15617.8	0	68.5986	-43.1395	-23.353	-10.8294	-10.4176	62.97	61.32	63.8	0.0129583	0.0163833	0.000158333	-0.826577	2.66524	265.558	NaN	269.115	271.038	270.568	NaN	2	011
DATA	2022-12-10T020000_AIU-1861.ghg	2022-12-10	02:30:00	344.1041	0	18000	18000	0.0059233	1	NaN	-16.7399	1	NaN	NaN	NaN	NaN	0.639796	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.48932e-11	NaN	NaN	NaN	24.7612	597.991	597.991	0.4	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	269.212	261.57	90048	1.19935	1005.04	0.0241503	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.282139	-0.686933	0.0104338	0.742689	3.11622e-14	-2.62076e-15	0.742689	1.85433	13.5278	292.329	0.804956	NaN	0.0702764	0.0928911	1.67479	2.07489	NaN	0.197613	1	27.5104	12	25	53	99	216	938	0.00568344	1.0422	-15.4309	1.08483	NaN	NaN	1.4075	1.38859	NaN	NaN	NaN	NaN	NaN	NaN	800000099	800000199	800000099	800000199	800000199	800111199	899999999	899999999	89999	89999	89	89	3	4	4	3	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.113791	0.0649131	0.00707833	1.3569	0.0180194	NaN	NaN	NaN	-0.0128015	0.0014075	NaN	NaN	NaN	0.000500912	10.43	597.937	-3.0568	NaN	107.04	1	-6.35	12.0786	218.216	258.347	-15617.8	0	74.0227	-43.9081	-24.1695	-11.1587	-10.8282	62.97	61.32	63.8	0.014	0.0137944	0.00000555557	-1.9281	1.84988	263.67	NaN	268.772	270.826	270.307	NaN	2	163
DATA	2022-12-10T023000_AIU-1861.ghg	2022-12-10	03:00:00	344.1249	0	18000	18000	0.00242197	2	NaN	-4.88663	0	NaN	NaN	NaN	NaN	0.317243	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.21887e-11	NaN	NaN	NaN	24.6021	595.573	595.573	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	270.174	262.266	90072	1.19648	1005.04	0.0242082	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.283268	-0.127537	0.00379252	0.310678	-1.18798e-14	1.30837e-15	0.310678	1.94822	311.802	335.761	0.699439	NaN	0.0449916	0.145384	1.50575	2.30783	NaN	0.0903208	1	9.81334	4	9	18	33	69	277	0.00231667	1.04545	-4.48376	1.08985	NaN	NaN	0.497998	1.40249	NaN	NaN	NaN	NaN	NaN	NaN	800000099	800000199	800000099	800000199	801100199	801111199	899999999	899999999	89999	89999	89	89	10	5	6	1	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.117606	0.169545	0.00361739	0.116441	0.00226871	NaN	NaN	NaN	-0.00372865	0.000497998	NaN	NaN	NaN	0.000504164	10.3798	595.523	-3.06344	NaN	106.943	1	-6.88	12.0773	218.16	257.916	-15617.8	0	73.4766	-43.5193	-25.0256	-11.5411	-11.2405	62.97	61.32	63.8	0.014	0.0128278	0	-0.456685	3.30675	264.613	NaN	268.446	270.593	270.03	NaN	2	122
DATA	2022-12-10T030000_AIU-1861.ghg	2022-12-10	03:30:00	344.1458	0	18000	18000	0.0108461	1	NaN	10.7101	1	NaN	NaN	NaN	NaN	-0.477836	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.53577e-11	NaN	NaN	NaN	24.5693	592.553	592.553	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	270.62	261.361	90098.5	1.20098	1005.04	0.0241176	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.24381	0.0301675	-0.0036424	0.245696	-1.76067e-14	2.25312e-15	0.245696	1.66156	308.629	7.05357	-0.84943	NaN	0.095032	0.162936	-6.4755	-0.536638	NaN	-0.0933696	1	2.47796	1	2	3	5	9	24	0.0103925	1.04365	10.3541	1.03438	NaN	NaN	-1.22122	1.0743	NaN	NaN	NaN	NaN	NaN	NaN	800000099	800000199	800000099	800000199	800100199	800100199	899999999	899999999	89999	89999	89	89	2	13	5	3	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.238626	0.0794552	0.00778989	1.46816	0.0244873	NaN	NaN	NaN	0.00857816	-0.00122122	NaN	NaN	NaN	0.000503982	10.36	592.495	-3.05075	NaN	106.855	1	-7.13333	12.0777	215.948	256.241	-15617.8	0	75.5092	-43.234	-25.7151	-11.9296	-11.6162	62.97	61.32	63.8	0.014	0.0141694	0	0.0687353	3.00973	264.358	NaN	268.137	270.385	269.791	NaN	2	244
DATA	2022-12-10T033000_AIU-1861.ghg	2022-12-10	04:00:00	344.1666	0	18000	18000	0.0303782	2	NaN	-47.4306	0	NaN	NaN	NaN	NaN	2.65873	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.26246e-11	NaN	NaN	NaN	24.6378	594.516	594.516	-0.3	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	270.201	261.491	90095.6	1.20034	1005.04	0.0241303	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.42978	-0.149666	0.0161508	1.43768	-2.62365e-14	-3.35358e-15	1.43768	3.79083	309.597	354.024	0.643667	NaN	0.159085	0.801215	6.8592	0.506619	NaN	0.247139	1	21.9153	10	21	45	87	200	975	0.029826	1.01852	-45.7128	1.03758	NaN	NaN	5.40664	1.17691	NaN	NaN	NaN	NaN	NaN	NaN	800000099	800000199	800000099	800000199	800100199	800100199	899999999	899999999	89999	89999	89	89	16	19	14	1	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	1.35671	0.207691	0.038032	3.53732	0.0580816	NaN	NaN	NaN	-0.0378922	0.00540664	NaN	NaN	NaN	0.000504134	10.36	594.461	-3.05527	NaN	107.072	1	-7.61	12.078	216.109	259.055	-15617.8	0	74.9552	-46.5184	-26.3253	-12.2866	-11.9644	62.97	61.32	63.8	0.014	0.0141556	0	-0.710659	2.86148	263.619	NaN	267.893	270.158	269.551	NaN	2	224
