DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	other_mean	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	LOGGERPOWER_1_1_1	LOGGERTEMP_1_1_1	VIN_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	PPFD_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_1	SHF_1_1_1	SHF_2_1_1	SHF_3_1_1	SHFSENS1_1_1_1	SHFSENS2_2_1_1	SHFSENS3_3_1_1	SWC_1_1_1	SWC_2_1_1	SWC_3_1_1	SWIN_1_1_1	SWOUT_1_1_1	TA_1_1_1	TC_1_1_1	TS_1_1_1	TS_2_1_1	TS_3_1_1	TSENSOR_1_1_1	VERSION_1_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	[OTHER]	[C]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[m]	[%]	[W/m^2]	[W/m^2]	[W/m^2]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[K]	[K]	[K]	[K]	[C]	[OTHER]	209
DATA	2024-04-03T233000_AIU-1861.ghg	2024-04-04	00:00:00	95	0	18000	18000	0.0025492	1	NaN	9.3056	1	NaN	-0.0749491	2	NaN	-2.91111	1	NaN	-0.00166313	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.90589e-11	-5.25507e-13	NaN	NaN	16.6283	428.398	430.882	0.5	0	223.721	5.76377	5.79718	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	284.525	272.855	88052.8	1.12181	1008.26	0.0257632	-0.000107771	0.00403146	507.652	596.486	0.0035937	85.1071	88.8343	270.625	-0.844569	0.412207	0.0204867	0.940017	-3.42987e-14	-2.34894e-15	0.940017	1.80442	149.861	153.984	1.2488	NaN	0.0476696	0.0876855	-0.926314	-3.75143	-124.159	-0.172587	1	24.2552	11	19	30	45	69	147	0.00251043	1.01544	9.14965	1.01658	-0.358106	1.05698	-3.22785	1.05698	-0.00794643	1.05698	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	0	0	8	0	0	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.144849	0.0296735	0.000848943	1.73154	0.230083	4.11411	NaN	NaN	0.00808928	-0.00322785	-0.00794643	NaN	NaN	0.000482725	11.62	428.368	5.76331	-2.5864	101.751	1	5.32	12.0759	265.104	312.171	0.0741428	0	67.4095	-48.6391	-20.1507	-8.78065	-9.27221	62.97	61.32	63.8	0.0525111	0.0524083	0.0603306	1.3252	2.89721	276.153	NaN	282.763	0.05	348.161	NaN	2	155
DATA	2024-04-04T000000_AIU-1861.ghg	2024-04-04	00:30:00	95.0208	0	18000	18000	-0.0162311	2	NaN	-35.8075	1	NaN	0.433895	2	NaN	8.93779	1	NaN	0.00963033	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.13156e-11	-1.50359e-13	NaN	NaN	16.8421	434.188	436.708	0	0	223.794	5.76937	5.80285	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	283.283	273.088	88070.7	1.12108	1008.27	0.0257799	0.000624045	0.00403276	508.249	606.665	0.0035972	83.7774	98.4167	270.641	-1.15237	0.553529	0.0403547	1.27905	-1.0284e-13	-6.71863e-16	1.27905	2.95143	150.913	154.343	1.80801	NaN	0.120325	0.6393	3.87198	0.897475	-82.5258	0.263272	1	30.1133	13	29	61	119	272	1325	-0.0158259	1.0256	-34.0254	1.05199	1.28861	1.24244	8.76282	1.24244	0.0286008	1.24244	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	1	2	1	0	4	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	1.2371	0.0332594	0.00824029	1.91061	0.149531	4.19333	NaN	NaN	-0.0301015	0.00876282	0.0286008	NaN	NaN	0.000486003	11.62	434.15	5.76892	-2.57052	101.77	1	4.54	12.0755	264.32	312.649	0.0741427	0	67.0406	-51.5302	-21.0673	-9.64301	-9.21971	62.97	61.32	63.8	0.0502722	0.0519556	0.0611056	-1.38695	1.81469	275.978	NaN	282.391	0.05	346.55	NaN	2	232
DATA	2024-04-04T003000_AIU-1861.ghg	2024-04-04	01:00:00	95.0416	0	18000	18000	-0.00493075	1	NaN	1.79884	1	NaN	0.744017	1	NaN	0.14857	2	NaN	0.0164917	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-7.19604e-11	-8.98331e-13	NaN	NaN	17.5353	449.692	452.23	0	1	218.905	5.6138	5.6455	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	281.685	271.696	88083	1.12705	1008.17	0.0256449	0.00106866	0.00394468	494.613	547.962	0.00349999	90.2642	53.3487	270.275	-0.132826	-0.207938	0.0152163	0.24721	2.18724e-14	-4.10374e-15	0.24721	1.48817	46.9587	237.43	3.52891	NaN	0.0661431	0.177139	-12.8034	-0.271412	2.41774	-0.023935	1	5.46443	2	4	8	12	21	53	-0.0047255	1.04343	1.77921	1.03424	0.635201	1.07414	0.0362861	1.07414	0.0140797	1.07414	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800100099	800100099	899999999	899999999	89999	89999	89	89	0	1	3	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.131453	0.22158	0.00124531	0.424933	0.111169	6.27807	NaN	NaN	0.00156585	0.0000362861	0.0140797	NaN	NaN	0.000485519	11.637	449.652	5.61337	-2.93675	101.785	1	3.85333	12.0756	260.889	308.265	0.058255	0	73.3568	-51.1962	-21.6051	-10.2858	-10.689	62.97	61.32	63.8	0.0526639	0.0509556	0.0611944	-2.37372	1.44567	274.105	NaN	282.12	0.05	346.55	NaN	2	157
DATA	2024-04-04T010000_AIU-1861.ghg	2024-04-04	01:30:00	95.0624	0	18000	18000	-0.00373231	2	NaN	0.666845	2	NaN	0.124659	2	NaN	-0.347323	2	NaN	0.00276247	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.43456e-11	4.31144e-13	NaN	NaN	17.1741	439.9	442.343	0	1	215.588	5.5221	5.55276	-0.5	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	281.849	271.43	88102.5	1.12844	1008.11	0.0256141	0.000179008	0.00388489	486.641	537.357	0.0034427	90.562	50.7157	270.057	-0.406814	0.169862	0.00580281	0.440891	-1.65402e-14	1.99985e-15	0.440891	1.53904	140.643	157.337	0.754124	NaN	0.0575107	0.142486	-22.7065	-0.15304	5.34936	-0.0101926	1	18.8597	8	15	26	42	71	180	-0.00363273	1.02741	0.658126	1.02377	0.0968791	1.06277	-0.362852	1.06277	0.00214686	1.06277	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800100099	801100199	899999999	899999999	89999	89999	89	89	0	1	2	0	0	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.213317	0.0694003	0.002254	0.749838	0.0775674	4.74833	NaN	NaN	0.000578523	-0.000362852	0.00214686	NaN	NaN	0.00048522	11.6437	439.861	5.52155	-3.15483	101.787	1	3.1	12.0761	260.007	306.541	0.0781147	0	71.6298	-50.0134	-22.4336	-10.8669	-11.4199	62.97	61.32	63.8	0.0529722	0.0494194	0.0608306	-0.457268	3.02199	274.324	NaN	281.768	0.05	346.55	NaN	2	054
DATA	2024-04-04T013000_AIU-1861.ghg	2024-04-04	02:00:00	95.0833	0	18000	18000	0.00782304	1	NaN	3.66302	1	NaN	-0.324519	1	NaN	-1.00094	1	NaN	-0.00718517	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.02512e-10	1.23406e-12	NaN	NaN	17.5523	447.965	450.394	0	1	211.298	5.3927	5.42193	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	280.684	270.512	88122.3	1.13258	1008.03	0.0255218	-0.000465599	0.00380759	475.344	502.08	0.00336186	94.6751	26.7353	269.742	-0.505902	0.432948	-0.0125972	0.665987	2.89038e-14	5.84039e-15	0.665987	1.69476	165.522	139.443	-1.08382	NaN	0.0831099	0.126759	-12.4768	-0.278517	-11.2875	-0.0386049	1	18.4773	8	15	25	39	64	155	0.00767061	1.01987	3.5769	1.01907	-0.411918	1.05836	-1.13941	1.05836	-0.00912028	1.05836	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	0	2	1	2	3	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.116783	0.130354	0.00638132	0.695186	0.0655325	1.19609	NaN	NaN	0.00313302	-0.00113941	-0.00912028	NaN	NaN	0.000486163	11.66	447.931	5.39226	-3.46879	101.781	1	2.51	12.0765	258.059	303.905	0.0913545	0	75.9345	-49.3019	-23.0967	-11.4298	-12.1172	62.97	61.32	63.8	0.05255	0.0478806	0.0602056	-0.976864	2.47913	273.168	NaN	281.471	0.05	346.55	NaN	2	199
DATA	2024-04-04T020000_AIU-1861.ghg	2024-04-04	02:30:00	95.1041	0	18000	18000	0.00201304	2	NaN	3.17131	1	NaN	-0.0203132	1	NaN	-0.633707	1	NaN	-0.000449568	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.26862e-11	-2.6205e-13	NaN	NaN	18.0586	460.143	462.601	0	1	208.597	5.31516	5.34356	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	279.485	270.073	88121.9	1.13445	1007.98	0.0254805	-0.000029132	0.00375892	468.507	485.95	0.00331342	96.4105	17.4434	269.549	0.0994834	-0.453423	0.0144022	0.464432	7.37268e-14	-1.25625e-15	0.464432	1.69049	41.9672	282.375	1.77705	NaN	0.0421244	0.352101	-1.87644	-1.85191	-156.121	-0.0658364	1	16.2303	7	13	21	31	48	106	0.00196144	1.02631	3.09876	1.02306	-0.110155	1.06205	-0.771092	1.06205	-0.00243793	1.06205	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	0	0	0	3	9	14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.594107	0.108605	0.00148969	0.620648	0.191971	5.27535	NaN	NaN	0.00270987	-0.000771092	-0.00243793	NaN	NaN	0.00048887	11.6548	460.091	5.31481	-3.663	101.778	1	1.91	12.0765	256.738	302.225	0.062227	0	77.7683	-49.1611	-23.783	-11.9572	-12.7663	62.97	61.32	63.8	0.051025	0.0476333	0.0576611	-1.40384	2.27009	272.532	NaN	281.199	0.05	345.255	NaN	2	137
DATA	2024-04-04T023000_AIU-1861.ghg	2024-04-04	03:00:00	95.1249	0	18000	18000	-0.0016344	1	NaN	0.948648	2	NaN	-0.591035	1	NaN	-0.237068	2	NaN	-0.0130825	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.25242e-12	1.07688e-13	NaN	NaN	17.7448	452.383	454.777	0	1	206.531	5.26525	5.29312	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	280.358	270.217	88122.8	1.13388	1007.96	0.0254938	-0.000847743	0.00372168	464.113	491.183	0.00328225	94.4889	27.0694	269.423	-0.207567	-0.32256	0.00489857	0.383605	-1.92682e-14	5.21415e-16	0.383605	1.09595	65.1134	237.239	0.731676	NaN	0.0379661	0.0481812	-4.59258	-0.756656	-1.60506	-0.0218625	1	19.8506	9	16	26	39	62	141	-0.00158584	1.03062	0.892972	1.02583	-0.578992	1.06493	-0.26824	1.06493	-0.0128159	1.06493	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	811001099	899999999	899999999	89999	89999	89	89	0	11	2	2	3	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0591279	0.0369829	0.000251519	0.0779664	0.0162925	7.37066	NaN	NaN	0.000781319	-0.00026824	-0.0128159	NaN	NaN	0.000490833	11.65	452.348	5.26492	-3.78901	101.788	1	1.21333	12.0763	255.002	301.762	0.0476632	0	75.7156	-50.2814	-24.3053	-12.4305	-13.3547	62.97	61.32	63.8	0.050275	0.0482389	0.0570583	-0.561536	2.96013	272.902	NaN	280.868	0.05	345.75	NaN	2	018
DATA	2024-04-04T030000_AIU-1861.ghg	2024-04-04	03:30:00	95.1458	0	18000	18000	-0.0529459	1	NaN	-39.8849	1	NaN	-4.22935	1	NaN	12.3554	1	NaN	-0.0936	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.50769e-10	2.87382e-12	NaN	NaN	17.6693	450.209	452.544	0	0	202.49	5.15939	5.18615	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	279.633	270.036	88112.4	1.13455	1007.9	0.0254797	-0.00606528	0.00364887	454.728	484.603	0.00321613	93.8353	29.8742	269.15	-0.298255	0.0819303	0.0144476	0.309641	-1.22306e-13	1.41924e-14	0.309641	1.87549	149.328	164.64	2.67435	NaN	0.216025	0.43025	20.1202	0.172712	9.4305	0.16146	0	153.395	-23.2783	52.6557	131.12	199.966	280.456	420.174	-0.0520776	1.01667	-39.2333	1.02241	-2.76186	1.09554	13.3997	1.09554	-0.0611228	1.09554	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	0	0	0	0	0	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.608242	0.248807	0.00345004	1.21645	0.12704	5.22198	NaN	NaN	-0.0343095	0.0133997	-0.0611228	NaN	NaN	0.000489631	11.6755	450.158	5.15902	-4.06089	101.814	1	0.963333	12.0767	255.601	300.667	0.0820866	0	75.9102	-47.5642	-24.6828	-12.8329	-13.8075	62.97	61.32	63.8	0.0500639	0.0486028	0.0570389	-0.111259	2.38688	272.517	NaN	280.64	0.05	346.48	NaN	2	089
DATA	2024-04-04T033000_AIU-1861.ghg	2024-04-04	04:00:00	95.1666	0	18000	18000	-0.00171366	1	NaN	1.77263	1	NaN	0.111907	2	NaN	0.111841	2	NaN	0.00247407	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.15539e-11	2.22841e-13	NaN	NaN	18.7957	476.961	479.325	0	1	194.325	4.93119	4.95563	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	277.153	268.945	88115.2	1.13929	1007.76	0.025376	0.00016032	0.00350174	434.63	446.591	0.00307362	97.3216	11.9615	268.55	-0.0488359	-1.71552	0.0481077	1.71689	-4.86793e-14	1.14674e-15	1.71689	2.42799	36.0465	268.369	1.60565	NaN	0.0387834	0.105628	-2.61962	-1.32653	15.8401	-0.0398089	1	92.337	41	72	116	171	266	568	-0.00169521	1.01089	1.75212	1.01518	0.0574148	1.06064	0.00260326	1.06064	0.00126934	1.06064	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	3	12	7	8	7	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0997422	0.10961	0.00190427	1.06549	0.274298	8.48091	NaN	NaN	0.00152607	0.00000260326	0.00126934	NaN	NaN	0.000492442	11.6818	476.912	4.93084	-4.66161	101.737	1	0.38	12.0766	252.512	298.767	0.0688469	0	83.3786	-49.5622	-25.0555	-13.1958	-14.1687	62.97	61.32	63.8	0.05005	0.0488806	0.0571667	-1.95548	1.35182	270.401	NaN	280.43	0.05	346.535	NaN	2	227
