DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ALB_1_1_2	LOGGERPOWER_1_1_1	LOGGERTEMP_1_1_1	VIN_1_1_1	LWIN_1_1_2	LWOUT_1_1_2	PPFD_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_2	SHFHEATER_1_1_1	SHFSENS_1_1_1	SHFSENS_2_1_1	SHF_1_1_1	SHF_2_1_1	SWC_2_1_1	SWIN_1_1_2	SWOUT_1_1_2	TA_1_1_1	TC_1_1_2	TS_2_1_1	VERSION_1_1_1	WD_1_1_1	WS_1_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	[%]	[OTHER]	[C]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[m]	[%]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[W/m^2]	[W/m^2]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[K]	[K]	[OTHER]	[Degrees_past_North]	[m/s]	237
DATA	2024-08-17T233000_smart3-00184.ghg	2024-08-18	00:00:00	231	0	18000	18000	-0.200458	0	NaN	-46.1939	0	NaN	23.1325	0	NaN	12.5865	0	NaN	0.524349	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.76224e-11	-2.22575e-12	NaN	NaN	15.7326	427.703	438.806	0	0	930.745	25.303	25.9598	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	300.48	295.06	90236.1	1.05524	1019.62	0.0271857	0.0339778	0.016772	2283.85	2621.64	0.015894	87.1153	337.79	292.783	-2.90156	-1.55445	-0.0678206	3.29241	-1.03359e-14	-2.39136e-15	3.29241	7.69857	131.51	208.179	-1.18033	NaN	0.435849	1.15708	145.692	0.0219985	-1.99692	0.0985045	0	27.7879	-4.21692	9.53868	23.7527	36.2243	50.8051	76.1153	-0.198421	1.01027	-43.9694	1.02206	24.8164	1.14931	12.7479	1.14931	0.562517	1.14931	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	7	8	0	2	27	16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	1.14726	0.790162	0.376733	0.0458005	0.00423066	15.1603	NaN	NaN	-0.0408656	0.0127479	0.562517	NaN	NaN	11.646	427.702	25.3029	19.5585	97.3402	0.185333	1	26.5933	11.9093	364.633	466.497	-0.168112	0	54.4492	597.433	0	60.1	60.4	-1.60388	275.362	0.314	858.6	158.927	288.275	NaN	294.65	5	79.8419	2.89784	121
DATA	2024-08-18T000000_smart3-00184.ghg	2024-08-18	00:30:00	231.0208	0	18000	18000	-0.202379	0	NaN	-42.8146	0	NaN	20.8001	0	NaN	12.4732	0	NaN	0.471432	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.64111e-12	9.82857e-14	NaN	NaN	15.7295	427.475	438.707	0	0	942.035	25.6013	26.274	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	300.407	294.956	90234.4	1.05547	1019.79	0.0271766	0.0305488	0.0169755	2310.74	2605.06	0.0160833	88.7019	294.323	292.971	-3.02167	-1.71316	-0.0588649	3.47403	4.63963e-15	1.04333e-16	3.47403	8.53239	130.365	209.551	-0.970881	NaN	0.437884	1.23846	159.409	0.0201055	-2.05839	0.0908391	0	26.9901	-4.09585	9.26482	23.0707	35.1843	49.3465	73.93	-0.200281	1.01048	-40.7643	1.02269	22.4865	1.15059	12.5091	1.15059	0.509653	1.15059	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	5	9	1	11	23	13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	1.3073	0.760635	0.408986	0.0347175	0.00414217	24.4498	NaN	NaN	-0.0378721	0.0125091	0.509653	NaN	NaN	11.64	427.473	25.6013	19.7469	97.3154	0.185333	1	26.35	11.9071	364.633	466.497	-0.180026	0	54.3908	597.433	0	60.1	60.4	-1.33781	372.479	0.314	858.6	158.927	288.215	NaN	294.65	5	78.7607	3.02537	197
DATA	2024-08-18T003000_smart3-00184.ghg	2024-08-18	01:00:00	231.0416	0	18000	18000	-0.193511	0	NaN	-43.2862	0	NaN	16.1162	0	NaN	13.4222	0	NaN	0.365172	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.25945e-11	-1.98222e-12	NaN	NaN	15.7088	426.563	437.923	0	0	955.322	25.9411	26.632	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	300.295	294.675	90222.4	1.0562	1019.99	0.0271543	0.0236632	0.0172149	2341.1	2560.67	0.0162989	91.4254	219.568	293.182	-2.87723	-1.59128	-0.0314319	3.2881	5.64352e-15	-2.07492e-15	3.2881	7.36469	130.717	208.945	-0.547715	NaN	0.428035	1.07114	147.265	0.0217635	-2.68588	0.0938705	0	26.8755	-4.07846	9.22548	22.9728	35.0349	49.137	73.6161	-0.191546	1.01026	-41.5076	1.02203	18.6623	1.14921	13.4078	1.14921	0.422863	1.14921	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	5	12	0	26	28	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	1.05553	0.691779	0.394973	0.0330548	0.00377889	12.2096	NaN	NaN	-0.0385289	0.0134078	0.422863	NaN	NaN	11.64	426.563	25.9411	19.9577	97.2663	0.185333	1	26.05	11.9085	364.633	466.497	-0.135019	0	54.2815	597.433	0	60.1	60.4	-1.45477	625.327	0.314	858.6	158.927	288.105	NaN	294.65	5	77.929	2.86637	233
DATA	2024-08-18T010000_smart3-00184.ghg	2024-08-18	01:30:00	231.0624	0	18000	18000	-0.237102	0	NaN	-41.4335	0	NaN	11.3973	0	NaN	12.8525	0	NaN	0.258205	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.89354e-11	1.77992e-12	NaN	NaN	15.6762	425.514	436.951	0	0	964.306	26.175	26.8785	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	300.235	294.502	90204.2	1.05652	1020.12	0.0271438	0.0167317	0.0173768	2361.72	2533.64	0.0164472	93.2148	171.912	293.324	-2.93811	-1.47382	-0.043204	3.28733	1.55342e-14	1.84581e-15	3.28733	7.96895	133.138	206.639	-0.753037	NaN	0.473729	1.11691	208.547	0.0153682	-3.63539	0.0811513	0	29.9	-4.53743	10.2637	25.558	38.9776	54.6667	81.9006	-0.234757	1.00999	-39.9714	1.02145	14.5423	1.1453	12.9127	1.1453	0.329454	1.1453	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	4	15	3	11	19	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	1.18136	0.681874	0.370581	0.029718	0.00420068	7.02272	NaN	NaN	-0.0370871	0.0129127	0.329454	NaN	NaN	11.64	425.514	26.175	20.0993	97.2217	0.185333	1	25.77	11.9093	364.633	466.497	-0.157523	0	54.1864	597.433	0	60.1	60.4	-1.65189	599.102	0.314	858.6	158.927	288.01	NaN	294.65	5	81.4754	2.88325	045
DATA	2024-08-18T013000_smart3-00184.ghg	2024-08-18	02:00:00	231.0833	0	18000	18000	-0.176609	0	NaN	-30.6305	0	NaN	11.06	0	NaN	11.5841	0	NaN	0.250565	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.58814e-11	1.60031e-12	NaN	NaN	15.6712	425.392	436.884	0	0	968.987	26.303	27.0136	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	300.19	294.504	90201.4	1.05643	1020.19	0.0271449	0.0162366	0.0174611	2373.21	2533.95	0.0165285	93.6563	160.747	293.402	-2.79154	-1.48161	-0.0228092	3.16044	1.07293e-14	1.65153e-15	3.16044	6.97072	132.008	207.957	-0.413513	NaN	0.408871	1.01367	181.373	0.0176707	-2.76947	0.06951	0	27.7733	-4.21471	9.53368	23.7402	36.2053	50.7785	76.0754	-0.174878	1.0099	-29.4156	1.02111	13.0097	1.14504	11.3443	1.14504	0.294734	1.14504	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	11	8	1	14	30	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	1.02983	0.665532	0.331974	0.0227455	0.00384864	2.98424	NaN	NaN	-0.0272934	0.0113443	0.294734	NaN	NaN	11.64	425.392	26.303	20.1778	97.2123	0.185333	1	25.55	11.9099	364.633	466.497	-0.150904	0	54.1879	597.433	0	60.1	60.4	-1.63273	685.886	0.314	858.6	158.927	288.011	NaN	294.65	5	79.6622	2.71553	175
DATA	2024-08-18T020000_smart3-00184.ghg	2024-08-18	02:30:00	231.1041	0	18000	18000	-0.205815	0	NaN	-38.9446	0	NaN	9.00925	0	NaN	14.2755	0	NaN	0.204053	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.01694e-11	5.56235e-12	NaN	NaN	15.6933	425.704	437.185	0	0	968.087	26.2607	26.9689	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	300.013	294.246	90183.7	1.05716	1020.16	0.0271264	0.0132226	0.0174449	2368.92	2494.17	0.0165017	94.9784	125.248	293.373	-2.83944	-1.46418	-0.0582992	3.19525	-6.88719e-15	5.74571e-15	3.19525	7.41658	132.245	207.278	-1.04545	NaN	0.441233	1.02613	179.249	0.0178801	-4.32273	0.0818406	0	28.582	-4.33743	9.81128	24.4315	37.2595	52.257	78.2905	-0.203785	1.00996	-37.6702	1.02129	12.2354	1.1457	14.0652	1.1457	0.277123	1.1457	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	11	12	0	9	29	13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	1.0373	0.65513	0.359835	0.0321273	0.00455591	2.55122	NaN	NaN	-0.0349291	0.0140652	0.277123	NaN	NaN	11.64	425.706	26.2607	20.1485	97.1726	0.185333	1	25.48	11.9094	364.633	466.497	-0.166789	0	54.0859	597.433	0	60.1	60.4	-1.45411	968.722	0.314	858.6	158.927	287.909	NaN	294.65	5	80.0181	2.72926	108
DATA	2024-08-18T023000_smart3-00184.ghg	2024-08-18	03:00:00	231.1249	0	18000	18000	-0.13925	0	NaN	-27.1444	0	NaN	10.2252	0	NaN	11.0478	0	NaN	0.231519	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.42281e-11	-2.68825e-12	NaN	NaN	15.7738	427.46	438.863	0	0	958.753	25.9817	26.6747	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	299.714	293.914	90171.6	1.05833	1020	0.0270995	0.0150024	0.0172767	2343.44	2443.8	0.0163246	95.8932	100.361	293.198	-2.179	-1.33954	-0.00532759	2.55782	-1.26695e-15	-2.8039e-15	2.55782	7.10362	129.335	211.581	-0.11934	NaN	0.362733	0.990945	142.863	0.0224341	-2.65466	0.0693225	0	27.6868	-4.20158	9.50399	23.6663	36.0926	50.6204	75.8385	-0.137971	1.00927	-26.0967	1.01905	11.9089	1.1405	10.7833	1.1405	0.269643	1.1405	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	1	5	2	9	17	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	1.18999	0.528573	0.263325	0.02758	0.00464679	29.4052	NaN	NaN	-0.024175	0.0107833	0.269643	NaN	NaN	11.6404	427.46	25.9818	19.9736	97.1267	0.185333	1	25.2033	11.9096	364.633	466.497	-0.169436	0	53.9268	597.433	0	60.1	60.4	-1.52701	989.176	0.314	858.6	158.927	287.749	NaN	294.65	5	75.7114	2.0546	230
DATA	2024-08-18T030000_smart3-00184.ghg	2024-08-18	03:30:00	231.1458	0	18000	18000	-0.0359128	1	NaN	-12.7207	0	NaN	-2.00679	2	NaN	10.787	0	NaN	-0.0454217	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.57152e-11	3.85147e-12	NaN	NaN	16.0662	434.667	446.029	0.1	0	941.615	25.4752	26.1411	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	299.383	293.547	90207.7	1.06028	1019.7	0.0270548	-0.00294333	0.0169679	2298.67	2389.1	0.0160032	96.2149	90.43	292.887	-0.525947	-0.680443	0.0057574	0.860032	-3.68806e-14	4.09028e-15	0.860032	5.23753	94.0004	232.298	0.383564	NaN	0.184041	0.54983	39.8243	0.0804786	6.33884	0.0639302	1	6.76506	3	6	12	23	47	189	-0.0355346	1.01064	-12.6179	1.01774	-0.249084	1.15704	9.89653	1.15704	-0.00563776	1.15704	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	1	0	0	4	14	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.763883	0.280239	0.0555371	0.0463113	0.0534444	23.6423	NaN	NaN	-0.0116706	0.00989653	-0.00563776	NaN	NaN	11.65	434.665	25.4752	19.6626	97.0999	0.185333	1	25	11.9103	364.633	466.497	-0.174731	0	53.7027	597.433	0	60.1	60.4	-1.83371	1072.15	0.314	858.6	158.927	287.523	NaN	294.65	5	61.3284	0.474419	173
DATA	2024-08-18T033000_smart3-00184.ghg	2024-08-18	04:00:00	231.1666	0	18000	18000	-0.038874	0	NaN	-6.97796	0	NaN	5.47779	0	NaN	13.0529	0	NaN	0.123963	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.50797e-10	-8.43306e-12	NaN	NaN	16.6997	451.534	463.232	0.1	0	933.905	25.2513	25.9055	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	299.053	293.365	90206.3	1.06101	1019.57	0.0270384	0.00803277	0.016829	2278.44	2362.47	0.0158613	96.443	84.0324	292.744	-0.651459	-1.03516	0.0301691	1.22346	-9.53286e-14	-9.02989e-15	1.22346	3.31719	101.308	237.816	1.41299	NaN	0.191412	0.35806	81.6722	0.0392423	-1.27386	0.0336995	1	11.9869	5	11	21	38	78	296	-0.0385189	1.00922	-6.57339	1.01591	5.49502	1.13682	11.7557	1.13682	0.124352	1.13682	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	5	0	0	17	18	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.331326	0.332596	0.0521973	0.00864667	0.0325538	4.33857	NaN	NaN	-0.00607652	0.0117557	0.124352	NaN	NaN	11.6537	451.533	25.2514	19.5204	97.0805	0.185333	1	24.8267	11.9103	364.633	466.497	-0.178702	0	53.5401	597.433	0	60.1	60.4	-2.23931	975.386	0.314	858.6	158.927	287.36	NaN	294.65	5	41.479	0.427341	177
