DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ALB_1_1_2	LOGGERPOWER_1_1_1	LOGGERTEMP_1_1_1	VIN_1_1_1	LWIN_1_1_2	LWOUT_1_1_2	PPFD_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_2	SHFHEATER_1_1_1	SHFSENS_1_1_1	SHFSENS_2_1_1	SHF_1_1_1	SHF_2_1_1	SWC_2_1_1	SWIN_1_1_2	SWOUT_1_1_2	TA_1_1_1	TC_1_1_2	TS_2_1_1	VERSION_1_1_1	WD_1_1_1	WS_1_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	[%]	[OTHER]	[C]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[m]	[%]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[W/m^2]	[W/m^2]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[K]	[K]	[OTHER]	[Degrees_past_North]	[m/s]	237
DATA	2024-08-10T233000_smart3-00184.ghg	2024-08-11	00:00:00	224	0	18000	18000	-0.0287071	0	NaN	-3.2923	0	NaN	10.649	0	NaN	5.9309	0	NaN	0.2395	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.10731e-11	8.34053e-13	NaN	NaN	16.0535	422.68	429.872	0.1	0	635.382	16.7293	17.0139	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	293.757	286.942	90607	1.09312	1014.59	0.0263295	0.0155196	0.0114496	1516.19	1572.3	0.0104742	96.4316	56.1056	286.349	-0.97132	-0.889179	-0.0131895	1.31692	1.58019e-14	1.31268e-15	1.31692	3.47935	167.59	222.472	-0.573853	NaN	0.162054	0.228345	105.204	0.0573645	-0.309165	0.018318	1	31.936	14	29	58	106	222	882	-0.0284669	1.00844	-2.64988	1.01011	10.1233	1.06319	5.63936	1.06319	0.227678	1.06319	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	0	2	0	10	6	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.263961	0.134629	0.0581011	0.00232772	0.00711252	8.43473	NaN	NaN	-0.00238927	0.00563936	0.227678	NaN	NaN	11.64	422.679	16.7292	13.1282	96.8808	0.185333	1	18.66	11.9165	364.633	466.497	-0.174731	0	50.505	597.433	0	60.1	60.4	-12.5467	558.075	0.314	858.6	158.927	284.311	NaN	294.65	5	119.124	0.349892	014
DATA	2024-08-11T000000_smart3-00184.ghg	2024-08-11	00:30:00	224.0208	0	18000	18000	-0.0492968	0	NaN	-1.39959	0	NaN	15.4334	0	NaN	8.18507	0	NaN	0.347157	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.94668e-11	1.97973e-12	NaN	NaN	15.9487	420.063	427.245	0.1	0	638.291	16.8115	17.099	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	293.834	287.103	90627.4	1.09272	1014.64	0.0263383	0.0224958	0.011502	1523.99	1588.84	0.010526	95.9186	64.8465	286.427	-1.0862	-0.787023	0.0019032	1.34136	-1.03393e-14	3.10161e-15	1.34136	3.60765	173.022	215.926	0.0812949	NaN	0.2124	0.311931	557.304	0.0108289	-0.090686	0.00594325	0	54.037	-8.20033	18.5492	46.19	70.4427	98.7969	148.016	-0.0488636	1.00887	-0.49472	1.00918	14.5184	1.05374	7.69574	1.05374	0.326575	1.05374	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	3	6	0	25	13	14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.300475	0.24084	0.0825473	0.000941492	0.00778196	10.1733	NaN	NaN	-0.000446206	0.00769574	0.326575	NaN	NaN	11.647	420.063	16.8115	13.2068	96.8979	0.185333	1	18.6	11.9148	364.633	466.497	-0.180026	0	50.5915	597.433	0	60.1	60.4	-12.04	770.291	0.314	858.6	158.927	284.399	NaN	294.65	5	125.589	0.412879	204
DATA	2024-08-11T003000_smart3-00184.ghg	2024-08-11	01:00:00	224.0416	0	18000	18000	-0.0479411	0	NaN	-0.586373	1	NaN	14.3145	0	NaN	7.75582	0	NaN	0.322005	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.71279e-11	-1.0918e-12	NaN	NaN	15.9117	419.278	426.475	0.1	0	640.388	16.8744	17.164	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	293.842	287.151	90601.6	1.0922	1014.68	0.0263503	0.0208659	0.0115398	1529.26	1593.86	0.0105656	95.9468	64.6023	286.48	-0.721498	-0.991916	0.0204352	1.22673	2.20333e-14	-1.7049e-15	1.22673	3.60007	155.56	233.969	0.954491	NaN	0.209509	0.250781	1276.39	0.00472819	-0.0409635	0.00252546	0	57.1076	-8.6663	19.6032	48.8147	74.4456	104.411	156.427	-0.0471093	1.01766	0.24953	1.01495	13.3995	1.05418	7.25695	1.05418	0.30142	1.05418	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	8	1	0	44	3	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.218687	0.212925	0.0699509	0.000561395	0.00565968	8.19675	NaN	NaN	0.00022516	0.00725695	0.30142	NaN	NaN	11.6496	419.278	16.8744	13.2596	96.8542	0.185333	1	18.59	11.9158	364.633	466.497	-0.178702	0	50.6192	597.433	0	60.1	60.4	-11.9849	925.227	0.314	858.6	158.927	284.428	NaN	294.65	5	109.413	0.354258	017
DATA	2024-08-11T010000_smart3-00184.ghg	2024-08-11	01:30:00	224.0624	0	18000	18000	-0.0253551	0	NaN	-0.523262	2	NaN	11.1578	0	NaN	7.43423	1	NaN	0.250992	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.81388e-11	7.09865e-13	NaN	NaN	16.4884	434.387	441.9	0.1	0	645.277	16.9998	17.2938	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	293.862	287.145	90617.7	1.09237	1014.75	0.026345	0.0162643	0.0116279	1540.9	1593.19	0.0106447	96.7175	52.2961	286.597	-0.398773	-0.808701	0.0244628	0.902006	-3.16976e-16	1.10009e-15	0.902006	2.67218	148.182	243.752	1.55407	NaN	0.152352	0.234528	550.097	0.0109708	-0.0468967	0.00309844	1	21.1698	9	19	36	63	125	437	-0.0247929	1.02268	0.12921	1.01789	10.4235	1.05677	6.95733	1.05677	0.234474	1.05677	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	1	0	0	23	6	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89	0.218267	0.207414	0.0433754	0.000903518	0.0701614	20.7813	NaN	NaN	0.000116565	0.00695733	0.234474	NaN	NaN	11.64	434.387	16.9998	13.3756	89.8312	0.185333	1	18.57	11.9163	364.633	466.497	-0.174731	0	50.625	597.433	0	60.1	60.4	-11.9504	1090.72	0.314	858.6	158.927	284.434	NaN	294.65	5	99.3963	0.282618	009
DATA	2024-08-11T013000_smart3-00184.ghg	2024-08-11	02:00:00	224.0833	0	18000	18000	-0.099417	0	NaN	1.63431	0	NaN	11.2737	0	NaN	12.2328	1	NaN	0.253552	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.08394e-10	4.29667e-12	NaN	NaN	16.372	431.49	438.999	0.1	0	648.978	17.104	17.4017	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	293.792	286.953	90521.7	1.0919	1014.81	0.0263553	0.0164302	0.0116946	1548.7	1573.5	0.0107104	98.4242	24.7951	286.674	-1.45797	-1.28127	-0.00780087	1.94098	-1.9083e-13	6.62067e-15	1.94098	5.32326	166.902	221.309	-0.230275	NaN	0.301745	0.580419	-1367.34	-0.00441367	0.144967	-0.00488798	0	58.1317	-8.8217	19.9547	49.6901	75.7805	106.283	159.232	-0.0981881	1.01252	2.26599	1.01249	10.3769	1.05354	11.4274	1.05354	0.233383	1.05354	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	3	7	0	45	5	16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92	0.522254	0.499789	0.138794	0.000964067	0.132474	11.2649	NaN	NaN	0.002045	0.0114274	0.233383	NaN	NaN	11.6511	431.491	17.104	13.4533	93.1697	0.185333	1	18.48	11.9161	364.633	466.497	-0.172083	0	50.6027	597.433	0	60.1	60.4	-11.7615	1035.26	0.314	858.6	158.927	284.409	NaN	294.65	5	115.317	0.858535	023
DATA	2024-08-11T020000_smart3-00184.ghg	2024-08-11	02:30:00	224.1041	0	18000	18000	-0.233453	0	NaN	-1.45126	0	NaN	11.7644	1	NaN	8.07132	0	NaN	0.264572	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.23736e-10	-5.14285e-12	NaN	NaN	15.6602	413.072	420.288	0	0	650.886	17.1686	17.4685	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	293.832	286.883	90424.6	1.09096	1014.84	0.0263772	0.0171443	0.011729	1552.88	1566.36	0.010751	99.1392	13.4826	286.715	-3.2329	-0.680135	-0.122034	3.30593	-6.89418e-15	-7.9013e-15	3.30593	8.90713	197.192	191.881	-2.11548	NaN	0.462589	1.39367	5543.75	0.00108861	-0.12336	0.00283361	0	55.4918	-8.4211	19.0485	47.4336	72.3392	101.457	152.001	-0.231918	1.00662	-0.761176	1.01103	11.0078	1.0624	7.56172	1.0624	0.247555	1.0624	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	4	5	2	37	14	26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	1.53474	0.886217	0.366388	0.00144562	0.00536625	13.1045	NaN	NaN	-0.000687506	0.00756172	0.247555	NaN	NaN	11.67	413.072	17.1686	13.4946	96.3291	0.185333	1	18.31	11.9165	364.633	466.497	-0.169436	0	50.5899	597.433	0	60.1	60.4	-11.8739	758.901	0.314	858.6	158.927	284.396	NaN	294.65	5	148.436	2.62935	199
DATA	2024-08-11T023000_smart3-00184.ghg	2024-08-11	03:00:00	224.1249	0	18000	18000	-0.402556	0	NaN	-3.16462	0	NaN	4.42858	1	NaN	6.77071	0	NaN	0.0995883	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.73264e-10	7.10395e-12	NaN	NaN	15.4711	408.339	415.292	0	0	634.327	16.7422	17.0273	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	293.828	286.814	90346.6	1.09046	1014.6	0.0263936	0.00645332	0.0114306	1513	1559.3	0.0104823	97.0311	46.2945	286.316	-4.18165	0.053092	-0.189082	4.18626	6.60528e-14	1.11992e-14	4.18626	9.4373	210.372	179.273	-2.58878	NaN	0.607586	1.87475	5756.57	0.00104837	-0.71459	0.0047077	0	57.9083	-8.78781	19.8781	49.4992	75.4894	105.875	158.62	-0.399802	1.00689	-2.87284	1.01276	4.33795	1.06865	6.4421	1.06865	0.0975502	1.06865	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	2	12	0	80	16	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	2.07445	1.10687	0.56818	0.00242238	0.00214777	18.1939	NaN	NaN	-0.0025966	0.0064421	0.0975502	NaN	NaN	11.656	408.339	16.7422	13.0958	94.7385	0.185333	1	18.29	11.9159	364.633	466.497	-0.17076	0	50.5925	597.433	0	60.1	60.4	-12.2543	486.765	0.314	858.6	158.927	284.4	NaN	294.65	5	162.611	3.78823	121
DATA	2024-08-11T030000_smart3-00184.ghg	2024-08-11	03:30:00	224.1458	0	18000	18000	-0.374759	0	NaN	-4.08269	0	NaN	1.09809	2	NaN	5.31446	0	NaN	0.0246986	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.19008e-11	-1.76783e-12	NaN	NaN	15.5002	409.479	416.677	0	0	653.969	17.2763	17.58	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	293.971	287.033	90333.5	1.08925	1014.91	0.0264176	0.00160047	0.0117845	1561.04	1581.62	0.0108189	98.6992	20.5733	286.796	-3.8793	0.556589	-0.194765	3.92386	2.75448e-14	-2.70323e-15	3.92386	9.48138	217.992	171.835	-2.8451	NaN	0.586559	1.78086	4014.67	0.00150324	-3.718	0.00629622	0	59.2668	-8.99397	20.3444	50.6604	77.2603	108.359	162.341	-0.372233	1.00679	-3.97117	1.01225	1.36207	1.06691	5.1586	1.06691	0.0306361	1.06691	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	3	16	0	93	17	21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	2.05435	1.00766	0.49971	0.0043939	0.0015946	34.8687	NaN	NaN	-0.00359223	0.0051586	0.0306361	NaN	NaN	11.6503	409.479	17.2763	13.5749	96.1073	0.185333	1	18.14	11.9162	364.633	466.497	-0.140314	0	50.6444	597.433	0	60.1	60.4	-12.5697	214.288	0.314	858.6	158.927	284.454	NaN	294.65	5	169.775	3.57074	053
DATA	2024-08-11T033000_smart3-00184.ghg	2024-08-11	04:00:00	224.1666	0	18000	18000	-0.169639	0	NaN	-1.41294	1	NaN	10.7315	2	NaN	-12.5688	2	NaN	0.241412	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.36762e-11	1.36247e-12	NaN	NaN	17.8792	472.452	481.659	0	0	723.357	19.1144	19.4869	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	293.983	287.183	90356.7	1.0882	1015.93	0.0264246	0.0156435	0.0130349	1727.58	1597.13	0.0119784	100	0	288.364	-2.33481	0.360996	-0.0963246	2.36452	-2.9108e-14	1.88354e-15	2.36452	6.13737	218.589	171.211	-2.33473	NaN	0.394829	0.809246	3539.79	0.0017049	-0.131662	0.00323699	0	58.1854	-8.82986	19.9732	49.736	75.8506	106.382	159.379	-0.168482	1.00687	-0.780953	1.0096	10.0949	1.05692	-11.9246	1.05692	0.22709	1.05692	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800001099	800000199	800000199	899999999	899999999	89999	89999	89	89	0	8	2	62	5	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67	0.869924	0.511482	0.237086	0.00173834	2.07933	1845.76	NaN	NaN	-0.000706402	-0.0119246	0.22709	NaN	NaN	11.66	472.451	19.1118	15.1178	66.9317	0.185333	1	18.13	11.916	364.633	466.497	-0.16017	0	50.7062	597.433	0	60.1	60.4	-12.4699	-53.7697	0.314	858.6	158.927	284.516	NaN	294.65	5	172.136	1.52352	022
