DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ALB_1_1_1	LOGGERPOWER_1_1_1	LOGGERTEMP_1_1_1	VIN_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	PPFD_1_1_1	PTVOUT_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_1	SHFHEATER_1_1_1	SHFSENS_1_1_1	SHFSENS_2_1_1	SHF_1_1_1	SHF_2_1_1	SWC_2_1_1	SWC_3_1_1	SWIN_1_1_1	SWOUT_1_1_1	TA_1_1_1	TC_1_1_1	TRN_1_1_1	TSENSOR_1_1_1	TS_2_1_1	TS_3_1_1	VERSION_1_1_1	WD_1_1_1	WS_1_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	[%]	[OTHER]	[C]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[OTHER]	[m]	[%]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[W/m^2]	[W/m^2]	[m^3/m^3]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[K]	[C]	[C]	[K]	[K]	[OTHER]	[Degrees_past_North]	[m/s]	048
DATA	2023-04-29T233000_smart3-00184.ghg	2023-04-30	00:00:00	120	0	18000	18000	-0.0268587	1	NaN	-8.71238	1	NaN	2.06455	1	NaN	1.16788	1	NaN	0.0462035	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.4336e-10	1.55133e-12	NaN	NaN	16.0819	418.196	420.097	0	0	174.026	4.5254	4.54598	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	286.606	281.782	90090.7	1.11194	1007.73	0.0260042	0.00299399	0.00313595	407.806	1116.53	0.00282025	36.5245	708.723	267.709	1.49758	-2.60779	-0.100352	3.00888	-2.04646e-13	8.91435e-15	3.00888	4.41483	89.4769	299.868	-1.91128	NaN	0.155418	0.300302	34.8511	0.137241	-4.22	0.0500276	1	83.045	36	79	166	321	726	3439	-0.0265913	1.01006	-8.43145	1.02023	2.0253	1.12071	1.42081	1.12071	0.0453253	1.12071	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	1	5	0	2	2	26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.155546	0.424984	0.0200737	0.030679	0.00102166	2.35709	NaN	NaN	-0.00752449	0.00142081	0.0453253	NaN	NaN	12.0854	418.197	4.52541	-5.50185	94.4448	1.57665	1	12.2067	11.8559	-2366.16	-11053.7	-10.4269	-0.0578293	0	37.3241	11255.4	0	72.3367	60.4	-9.2969	-8.20661	0	NaN	985.518	-1582.32	282.454	280.108	9.3061	9.20732	281.462	NaN	5	244.622	2.06753	144
DATA	2023-04-30T000000_smart3-00184.ghg	2023-04-30	00:30:00	120.0208	0	18000	18000	-0.0264969	0	NaN	-15.6719	0	NaN	1.64824	0	NaN	1.44807	0	NaN	0.0368737	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.52992e-11	-4.88213e-13	NaN	NaN	16.1341	418.962	420.862	0	0	173.886	4.51537	4.53585	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	286.253	281.41	90099.1	1.11352	1007.72	0.0259674	0.00238942	0.00313342	406.94	1088.71	0.00281399	37.3781	681.773	267.681	1.46679	-3.49684	-0.131521	3.79429	-4.36185e-14	-2.80767e-15	3.79429	5.65777	96.9618	292.756	-1.98644	NaN	0.154259	0.20582	18.9451	0.252466	-9.50828	0.0905394	1	121.14	53	118	258	517	1236	6614	-0.0261146	1.01464	-15.1278	1.03045	1.7332	1.16926	1.91007	1.16926	0.0387744	1.16926	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	6	1	0	4	1	43	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.239862	0.131334	0.0404434	0.0608597	0.00189908	2.24047	NaN	NaN	-0.0134816	0.00191007	0.0387744	NaN	NaN	12.078	418.961	4.51538	-5.5297	94.4392	12.6155	1	12.11	11.8348	1185.76	-11123.6	-10.3687	-0.0634917	0	38.0522	15281.7	0	72.3367	60.4	-12.1801	-10.2552	0	NaN	2338.56	-633.81	282.157	279.997	9.0218	8.92583	281.646	NaN	5	253.714	3.08694	146
DATA	2023-04-30T003000_smart3-00184.ghg	2023-04-30	01:00:00	120.0416	0	18000	18000	-0.0814706	0	NaN	-24.874	0	NaN	4.32708	0	NaN	1.64995	0	NaN	0.0968065	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.89563e-11	-4.08422e-13	NaN	NaN	16.0798	417.565	419.401	0	0	168.582	4.37781	4.39706	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	286.341	281.444	90106.9	1.11354	1007.64	0.0259683	0.00627306	0.00303786	394.576	1091.24	0.00272812	36.1586	696.662	267.276	1.16617	-4.68132	-0.141564	4.82646	-9.34716e-14	-2.42269e-15	4.82646	7.06519	105.935	283.988	-1.68078	NaN	0.270488	0.384804	64.3562	0.0743208	-5.74844	0.0819568	0	43.7349	-6.63694	15.0128	37.3839	57.0129	79.9614	119.797	-0.0805753	1.01111	-24.0745	1.02363	4.36303	1.12345	2.56002	1.12345	0.0976108	1.12345	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000199	899999999	899999999	89999	89999	89	89	15	8	1	4	4	47	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.294745	0.362799	0.112065	0.0392367	0.000766786	6.51241	NaN	NaN	-0.0214559	0.00256002	0.0976108	NaN	NaN	12.07	417.565	4.37781	-5.93541	94.4314	0.104633	1	11.77	11.8479	-3294.4	-11124.2	-9.68431	-0.0617983	0	36.7853	10579	0	72.3367	60.4	-9.82749	-7.8782	0	NaN	732.671	-2016.48	282.215	280.409	9.05772	8.891	281.767	NaN	5	262.988	4.45378	096
DATA	2023-04-30T010000_smart3-00184.ghg	2023-04-30	01:30:00	120.0624	0	18000	18000	-0.0655613	0	NaN	-23.623	0	NaN	3.53421	0	NaN	1.27973	0	NaN	0.0790393	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.222e-11	7.48172e-13	NaN	NaN	16.1103	417.725	419.54	0	0	166.896	4.32747	4.34628	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	285.916	281.061	90120.6	1.11524	1007.61	0.0259291	0.00512175	0.00300747	390.099	1063.2	0.0026967	36.6911	673.098	267.127	0.914093	-4.23681	-0.133837	4.33637	-2.00852e-14	4.48285e-15	4.33637	6.2039	107.726	282.175	-1.76866	NaN	0.242459	0.256614	48.8103	0.0979915	-6.68411	0.0867031	0	45.4913	-6.90348	15.6157	38.8853	59.3025	83.1726	124.608	-0.0648392	1.01114	-22.9	1.0234	3.62093	1.12598	2.17738	1.12598	0.0809788	1.12598	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	16	2	0	1	1	37	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.26376	0.167865	0.0816022	0.0298423	0.000461498	2.44123	NaN	NaN	-0.0203785	0.00217738	0.0809788	NaN	NaN	12.054	417.725	4.32746	-6.08409	94.4306	-0.724322	1	11.61	11.8493	-295.879	-10776	-8.05879	-0.0587083	0	37.1821	13646.2	0	72.3367	60.4	-11.7255	-8.94681	0	NaN	1747.72	-1418.29	281.863	280.111	8.72699	8.60671	281.751	NaN	5	265.813	4.04737	216
DATA	2023-04-30T013000_smart3-00184.ghg	2023-04-30	02:00:00	120.0833	0	18000	18000	-0.0571793	0	NaN	-22.0916	0	NaN	2.38503	0	NaN	1.19545	0	NaN	0.0533288	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.94234e-11	-2.03171e-13	NaN	NaN	16.1207	417.609	419.441	0	0	168.625	4.36824	4.38741	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	285.739	280.859	90139	1.11626	1007.63	0.0259051	0.0034557	0.00303862	393.855	1048.63	0.00272215	37.5588	654.78	267.252	1.02536	-3.9589	-0.136173	4.09179	7.91454e-16	-1.20487e-15	4.09179	6.0257	105.395	284.521	-1.90713	NaN	0.226328	0.218093	42.46	0.112647	-9.26261	0.0867812	0	44.4743	-6.74915	15.2666	38.016	57.9768	81.3133	121.822	-0.0565464	1.01119	-21.4644	1.02338	2.57279	1.12796	2.03955	1.12796	0.057527	1.12796	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000199	899999999	899999999	89999	89999	89	89	18	5	1	8	7	45	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.248206	0.11274	0.0752395	0.0353823	0.000397067	1.77092	NaN	NaN	-0.0190833	0.00203955	0.057527	NaN	NaN	12.04	417.609	4.36832	-5.95825	94.4314	-0.293109	1	11.39	11.8484	-1527.37	-10975.1	-8.52474	-0.0667574	0	38.1824	11491.4	0	72.3367	60.4	-12.8582	-8.85104	0	NaN	1151.9	-891.764	281.671	279.677	8.52734	8.37831	281.491	NaN	5	262.819	3.56965	230
DATA	2023-04-30T020000_smart3-00184.ghg	2023-04-30	02:30:00	120.1041	0	18000	18000	-0.0596701	0	NaN	-21.949	0	NaN	3.9099	0	NaN	1.35373	0	NaN	0.0873478	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.97376e-12	2.00419e-14	NaN	NaN	16.1852	417.924	419.705	0	0	164.348	4.24367	4.26176	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	284.89	279.941	90135.9	1.11993	1007.54	0.0258213	0.00566014	0.00296155	382.61	984.728	0.0026444	38.8544	602.118	266.873	0.783069	-4.12676	-0.133913	4.20253	-4.18854e-14	1.21948e-16	4.20253	6.00463	109.28	280.744	-1.82604	NaN	0.230825	0.21266	45.3316	0.105511	-5.61369	0.0842705	0	45.1197	-6.84709	15.4881	38.5677	58.8181	82.4933	123.59	-0.0590122	1.01115	-21.2465	1.02335	3.9088	1.12681	2.16705	1.12681	0.0873232	1.12681	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000199	899999999	899999999	89999	89999	89	89	10	3	0	6	10	49	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.21651	0.133319	0.0754905	0.190221	0.00108826	6.55545	NaN	NaN	-0.0188291	0.00216705	0.0873232	NaN	NaN	12.0313	417.923	4.24379	-6.33822	94.4315	47.1251	1	11.08	11.8443	-858.315	-10917.2	-6.49283	-0.0719243	0	39.3178	13148.7	0	72.3367	60.4	-19.8606	-12.0691	0	NaN	1948.93	-1140.91	280.902	277.967	7.78846	7.67607	280.741	NaN	5	266.716	3.81555	217
DATA	2023-04-30T023000_smart3-00184.ghg	2023-04-30	03:00:00	120.1249	0	18000	18000	-0.0483066	0	NaN	-20.6516	0	NaN	0.308025	1	NaN	1.15925	0	NaN	0.00686876	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.58498e-11	-2.5412e-13	NaN	NaN	16.3251	418.615	420.345	0	0	160.487	4.11526	4.13226	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	283.025	278.021	90142.5	1.1278	1007.44	0.0256424	0.000445096	0.00289197	371.059	862.122	0.00256425	43.0402	491.063	266.474	0.611323	-3.57705	-0.136289	3.63147	-1.78018e-14	-1.58343e-15	3.63147	6.57889	109.667	279.698	-2.15081	NaN	0.20696	0.354521	34.7276	0.137729	-67.045	0.087824	0	47.668	-7.2338	16.3629	40.7459	62.14	87.1523	130.57	-0.0477745	1.01114	-20.1735	1.023	0.687755	1.13015	1.96757	1.13015	0.0153365	1.13015	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	14	2	0	2	0	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.507419	0.148723	0.0528994	0.352119	0.00344485	5.46316	NaN	NaN	-0.0177553	0.00196757	0.0153365	NaN	NaN	12.026	418.613	4.11526	-6.73755	94.4312	-0.906834	1	10.34	11.8516	-6249.15	-11139.5	-9.0476	-0.0636355	0	43.4927	8040.2	0	72.3367	60.4	-25.8691	-16.2721	0	NaN	338.393	-2811.43	279.095	274.817	6.00364	5.96683	278.679	NaN	5	266.759	2.9145	229
DATA	2023-04-30T030000_smart3-00184.ghg	2023-04-30	03:30:00	120.1458	0	18000	18000	-0.0198731	0	NaN	-11.6361	0	NaN	0.10437	0	NaN	0.598546	0	NaN	0.00232466	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.67336e-11	-6.4009e-13	NaN	NaN	16.3811	418.036	419.718	0	0	157.124	4.00968	4.02583	0.7	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	282.25	276.789	90175.9	1.13329	1007.36	0.0255193	0.000150638	0.00283137	361.674	790.759	0.00249837	45.7376	429.085	266.141	0.371149	-2.49404	-0.106753	2.52377	1.50385e-14	-4.0738e-15	2.52377	4.63727	111.397	278.464	-2.42428	NaN	0.132423	0.151699	16.1492	0.296176	-111.489	0.0769692	1	89.1485	39	87	189	380	906	4837	-0.0196257	1.01261	-11.3431	1.02548	0.313926	1.15862	1.0364	1.15862	0.00699213	1.15862	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	18	12	2	6	8	26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.216727	0.0597356	0.0269357	0.0391304	0.000453243	1.85824	NaN	NaN	-0.00993589	0.0010364	0.00699213	NaN	NaN	12.01	418.035	4.00971	-7.06949	94.4325	-0.572111	1	9.09	11.8526	-2762.87	-11145.4	-12.3847	-0.0511462	0	46.638	10380.8	0	72.3367	60.4	-25.3021	-17.9825	0	NaN	352.891	-1645.3	277.95	272.229	4.8016	4.56282	276.636	NaN	5	268.691	1.56446	149
DATA	2023-04-30T033000_smart3-00184.ghg	2023-04-30	04:00:00	120.1666	0	18000	18000	-0.0162984	1	NaN	-19.1168	0	NaN	-2.27911	2	NaN	0.971089	0	NaN	-0.0507546	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.80377e-11	4.37826e-13	NaN	NaN	16.3959	418.209	419.809	0	0	149.436	3.81165	3.82623	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	281.988	276.615	90162.8	1.13392	1007.25	0.0255069	-0.0032889	0.00269284	343.761	781.064	0.0023748	44.0119	437.302	265.483	-0.0258649	-3.8763	-0.192236	3.88115	-8.23493e-14	2.92986e-15	3.88115	6.93994	120.835	269.618	-2.83907	NaN	0.119889	0.383436	7.29345	0.655794	8.38784	0.139609	1	226.815	100	228	515	1071	2709	NaN	-0.0158905	1.02567	-18.2663	1.05269	-1.44893	1.28673	1.54221	1.28673	-0.032267	1.28673	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800100099	800100099	899999999	899999999	89999	89999	89	89	20	13	22	7	13	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.56354	0.180075	0.0232566	0.109121	0.00126359	10.6087	NaN	NaN	-0.0159929	0.00154221	-0.032267	NaN	NaN	11.9621	418.209	3.81165	-7.72897	94.4345	-1.73138	1	7.99667	11.8531	-4990.06	-11147.3	-7.1719	-0.060755	0	45.8417	8290.9	0	72.3367	60.4	-21.2948	-19.8211	0	NaN	605.457	-1528.21	277.548	271.334	4.41642	4.29862	274.751	NaN	5	278.53	3.06138	083
